ID RAdeg DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr z r_z ID-COSMOS2015 bibcode flag_magellean z_magellean flag_deimos z_deimos flag_sdss z_sdss
146 150.21078 2.39146 22.67 1 1 1 1 1 3 3.1019 0 720608 2009ApJ...696.1195T True 3.1019 False -1.0 False -1.0
147 150.23182 2.36399 20.68 1 1 1 1 1 5 1.931491 1 703122 "HSC miscellaneous" False -1.0 True 1.931 True 1.931359
148 150.23554 2.36175 22.79 1 1 1 1 1 6 2.5042994 1 701418 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
149 150.24463 2.43227 20.63 1 1 1 1 1 6 0.6931492 1 747883 "HSC miscellaneous" True 0.6933 False -1.0 False -1.0
150 150.20902 2.43846 21.0 1 1 1 1 1 5 3.7132 1 751736 "HSC miscellaneous" False -1.0 False -1.0 True 3.718431
151 150.20887 2.48189 19.71 1 1 1 1 1 5 3.365502 1 780589 "HSC miscellaneous" False -1.0 False -1.0 True 3.365638
152 150.29252 2.54507 21.48 1 1 1 1 1 6 2.65265 1 821742 "HSC miscellaneous" True 2.6534 False -1.0 True 2.652727
153 150.32383 2.55258 22.83 1 1 1 1 1 6 1.001973 1 825866 "HSC miscellaneous" True 0.695 False -1.0 False -1.0
154 150.31791 2.60207 20.86 1 1 1 1 1 6 0.9569 1 860452 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
155 150.33446 2.56146 19.86 1 1 1 1 1 6 1.835898 1 833026 "HSC miscellaneous" False -1.0 False -1.0 True 1.835898
156 150.27629 2.52632 22.46 1 1 1 1 1 6 1.4332 1 808811 "HSC miscellaneous" True 1.45 False -1.0 False -1.0
157 150.29924 2.63343 23.62 1 1 1 1 1 5 2.987 3 879130 2016ApJ...817...34M True -1.0 False -1.0 False -1.0
158 150.2978 2.67347 21.83 1 1 1 1 1 6 1.591987 1 904792 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
159 150.17137 2.56402 20.99 1 1 1 1 1 6 0.5173518 1 836473 "HSC miscellaneous" True 0.5012 False -1.0 False -1.0
160 150.16384 2.59765 21.91 1 1 1 1 1 6 1.5877 1 856252 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
161 150.18624 2.55642 21.99 1 1 1 1 1 6 0.6613 1 828975 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
162 150.23083 2.57815 19.58 1 1 1 1 1 6 1.401678 1 844866 "HSC miscellaneous" False -1.0 False -1.0 True 1.401678
163 150.23266 2.54427 24.57 1 1 1 1 1 4 1.404 0 819753 2015ApJS..220...12S False -1.0 False -1.0 False -1.0
164 150.22416 2.65113 22.64 1 1 1 1 1 6 1.749 3 890192 2016ApJ...817...34M True 0.5735 False -1.0 False -1.0
165 150.29771 2.73879 23.22 1 1 1 1 1 6 1.5917684 1 946272 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
166 150.33854 2.7767 22.94 1 1 1 1 1 6 2.13 0 970077 2009ApJ...696.1195T True 2.13 False -1.0 False -1.0
167 150.25557 2.77035 20.94 1 1 1 1 1 6 0.8069 1 966659 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
168 150.25135 2.73714 20.76 1 1 1 1 1 6 2.1606 1 946085 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
169 150.16706 2.76891 21.92 1 1 1 1 1 6 2.3873 0 965224 2009ApJ...696.1195T True 2.3873 False -1.0 False -1.0
170 150.05185 1.68279 20.17 1 1 1 1 1 6 2.2719 1 264418 "HSC miscellaneous" True 2.2767 False -1.0 True 2.275872
171 149.99161 1.72432 20.21 1 1 1 1 1 6 1.624676 1 289891 "HSC miscellaneous" False -1.0 True -1.0 True 1.624676
172 150.13175 1.79944 20.84 1 1 1 1 1 6 1.6742 1 336989 "HSC miscellaneous" True 1.6789 False -1.0 False -1.0
173 150.12456 1.80983 22.71 1 1 1 1 1 6 1.441 3 342325 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
174 150.10166 1.84837 19.81 1 1 1 1 1 6 1.6734 1 368360 "HSC miscellaneous" False -1.0 False -1.0 True 1.660814
175 150.11699 1.9299 22.23 1 1 1 1 1 6 1.5186964 1 419128 "HSC miscellaneous" True 1.5191 False -1.0 False -1.0
176 150.08145 1.90601 23.08 1 1 1 1 1 6 0.971 3 403419 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
177 150.02548 1.87768 22.51 1 1 1 1 1 6 1.795 1 385456 "HSC miscellaneous" True -1.0 True 1.795 False -1.0
178 150.0427 1.87215 23.63 1 1 1 1 1 5 3.3248823 1 382018 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
179 149.98874 1.93244 22.58 1 1 1 1 1 6 2.3863 1 420086 "HSC miscellaneous" True 2.387 False -1.0 False -1.0
180 150.07307 2.0035 20.61 1 1 1 1 1 6 0.352 1 465158 "HSC miscellaneous" True 0.35 False -1.0 False -1.0
181 150.14562 2.04308 20.66 1 1 1 1 1 6 1.1768 1 490038 "HSC miscellaneous" True 1.1767 False -1.0 False -1.0
182 150.10558 2.12632 21.71 1 1 1 1 1 6 0.9609 1 543535 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
183 149.99527 2.00665 21.97 1 1 1 1 1 6 1.033309 1 466580 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
184 150.0044 2.03891 21.55 1 1 1 1 1 6 3.5078 1 486220 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
185 150.05894 2.01516 19.63 1 1 1 1 1 6 2.497976 1 473114 "HSC miscellaneous" False -1.0 False -1.0 True 2.497976
186 149.99176 2.13195 22.85 1 1 1 1 1 4 2.1351 1 546685 "HSC miscellaneous" True 2.129 False -1.0 False -1.0
