 ID     RAdeg   DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr ID-COSMOS2015           z z_phot       z0          z1    z2   z3    z4    z5 r_z r_z0 r_z1 r_z4
=== ========= ======= ===== ====== ====== ====== ====== ====== ====== ============= =========== ====== ======== =========== ===== ==== ===== ===== === ==== ==== ====
 91 150.49911 2.44491 19.03      1      1      1      1      1      4        757535      2.0313    2.0   2.0313    2.029696  -1.0  2.0 2.027  -1.0   0    3    3    1
 92 150.35363 2.34216 20.36      1      1      1      1      1      6        688136      1.7076   -1.0   1.7076      1.7071  -1.0 -1.0  1.71  -1.0   0    3    1    1
 93 150.40669 2.36546  21.8      1      1      1      1      1      6        703733      2.0416   2.05   2.0416      2.0309  -1.0 2.05 2.031  -1.0   0    3    1    1
 94 150.38142 2.50602 23.99      1      1      1      1      1      6        794241        1.81   1.88     -1.0        -1.0  -1.0 1.88  1.81  1.81   5   -1   -1    3
 95  150.4536  2.5279 21.03      1      1      1      1      1      6        810108      1.9335   1.96     -1.0      1.9335  -1.0 1.96 1.933  -1.0   1   -1    1    1
 96 150.45666 2.64811 20.36      1      1      1      1      1      6        889205      2.0566   -1.0   2.0566      2.0487  -1.0 -1.0 2.054  -1.0   0    3    1    1
 97 150.49762 2.65989 19.94      1      1      1      1      1      6        897743      0.8535   2.19   0.8535      0.8497  -1.0 2.19  0.85  -1.0   0    3    1    1
 98  150.5055 2.67487 22.05      1      1      1      1      1      6        906149        1.29    1.2     1.29        -1.0 1.289  1.2 1.289  -1.0   0    3   -1    2
 99 150.38283 2.55977 22.94      1      1      1      1      1      6        830661      2.0654   2.05   2.0654      2.0645  -1.0 2.05 2.067  -1.0   0    3    1    1
100 150.41596 2.52574 22.27      1      1      1      1      1      6        808139      1.4436   1.44   1.4436    1.445765  -1.0 1.44 1.444  -1.0   0    3    7    3
101 150.35143 2.67822 21.15      1      1      1      1      1      4        908022      2.7592   2.75   2.7592       2.753  -1.0 2.75 2.753  -1.0   0    3    1    1
102 150.49077 2.77544 20.24      1      1      1      1      1      6        970232       1.434   1.98    1.434     1.44176  -1.0 1.98 1.437  -1.0   0   28    3    1
103 150.50456 2.72503 22.73      1      1      1      1      1      6        938102       1.606   0.14    1.606   0.4906261  -1.0 0.14 0.491  -1.0   0   18    9    1
104   150.382 2.75838  21.2      1      1      1      1      1      6        958682      1.2281   1.88   1.2281        -1.0  -1.0 1.88 1.228 1.228   0    3   -1    3
105 150.38285 2.72363 22.35      1      1      1      1      1      6        937194      2.0518   1.99   2.0518      2.0465  -1.0 1.99 2.055  -1.0   0    3    1    1
106 150.40154  2.7908 21.38      1      1      1      1      1      6        979571        0.92   0.98     0.92    0.918411  -1.0 0.98 0.923  -1.0   0    3    8    1
107 150.40562 2.72326 23.02      1      1      1      1      1      6        937001       1.266   -1.0    1.266        -1.0  -1.0 -1.0 1.266 1.266   0    3   -1    3
108 150.36187 2.77911 22.54      1      1      1      1      1      6        971246      2.5226   2.53   2.5226    2.548625  -1.0 2.53 2.535  -1.0   0    1    9    1
109 150.31993 1.68158 19.78      1      1      1      1      1      6        263032      2.0551   2.03   2.0551    2.054655  -1.0 2.03 2.055  -1.0   0    3    3    1
110 150.27997 1.74387 22.05      1      1      1      1      1      6        301078      0.7627   2.15   0.7627      0.7621  -1.0 2.15 0.762  -1.0   0    1    1    1
111 150.25926 1.75729  21.5      1      1      1      1      1      4        310302      0.9645   0.85     -1.0      0.9645  -1.0 0.85 0.965  -1.0   1   -1    1    1
112 150.26243 1.75146 23.25      1      1      1      1      1      3        305868       1.676   -1.0    1.676   1.6758153  -1.0 -1.0 1.675  -1.0   0   21    7    1
113 150.30622 1.87518 23.31      1      1      1      1      1      6        383817        1.76   1.72     1.76       1.755  -1.0 1.72 1.755  -1.0   0   11    6    3
114 150.33866 1.92814 22.89      1      1      1      1      1      6        418204       1.611    0.0    1.611   1.6113573  -1.0  0.0 1.197  -1.0   0   11    7    1
115 150.30889 1.91231 21.57      1      1      1      1      1      6        407780    1.514957   -1.0     -1.0    1.514957  -1.0 -1.0 1.483  -1.0   1   -1    7    3
116 150.22779 1.78686 22.54      1      1      1      1      1      6        328963   1.6788466   1.67     -1.0   1.6788466  -1.0 1.67 1.681 1.681   1   -1    7    3
117 150.24252 1.76643 20.63      1      1      1      1      1      6        316931      0.6227   0.73   0.6227      0.6222  -1.0 0.73 0.622  -1.0   0    1    1    1
118 150.21027 1.85386 22.06      1      1      1      1      1      6        370490        3.54   3.54     -1.0        -1.0  -1.0 3.54 0.934  -1.0   3   -1   -1    3
119 150.24519 1.90011 20.01      1      1      1      1      1      6        400930      1.5591   1.56   1.5591    1.560692  -1.0 1.56  1.56  -1.0   0    3    7    1
120 150.20823 1.87538 20.52      1      1      1      1      1      6        386177      1.1563    2.2   1.1563      1.1487  -1.0  2.2 1.148  -1.0   0    3    1    1
121 150.24309 1.86912 20.58      1      1      1      1      1      6        381137      2.0283   2.05   2.0283    2.022416  -1.0 2.05 2.021  -1.0   0    3    9    1
122 150.16179 1.87796 21.98      1      1      1      1      1      6        388379       1.444   1.46     -1.0       1.444  -1.0 1.46 1.443  -1.0   1   -1    6    1
123 150.31193 2.03575 20.77      1      1      1      1      1      5        486067       0.969   0.98    0.969        0.97  -1.0 0.98  0.97  -1.0   0    3    1    1
124 150.25342 1.99661 21.93      1      1      1      1      1      6        460918      1.1645   1.14   1.1645       1.171  -1.0 1.14  1.17  -1.0   0    3    6    1
125 150.31186 1.97795 21.72      1      1      1      1      1      6        448282      2.3504   -1.0   2.3504   2.3508954  -1.0 -1.0 2.349  -1.0   0    1    7    1
126 150.28566 2.01459  21.2      1      1      1      1      1      6        471767      2.6807   -1.0   2.6807      2.6694  -1.0 -1.0 2.669  -1.0   0    3    1    1
127 150.32425 2.08908 22.62      1      1      1      1      1      6        519096       1.797   -1.0    1.797   1.0733103  -1.0 -1.0 1.073  -1.0   0   11    9    1
128 150.33439 2.06147 20.17      1      1      1      1      1      6        502241       0.904   0.88    0.904   0.9026051  -1.0 0.88 0.903  -1.0   0    1    3    1
129 150.30691 2.05384  23.6      1      1      1      1      1      4        495819       2.017   0.89    2.017       2.017  -1.0 0.89 2.009 2.009   0   18    6    3
130 150.21637 1.98874 21.34      1      1      1      1      1      6        455603      2.2298   2.21     -1.0      2.2298  -1.0 2.21 2.242  -1.0   1   -1    1    1
131 150.18074 2.07598 22.87      1      1      1      1      1      6        510871        3.01   3.01     -1.0        -1.0  -1.0 3.01  3.01  3.01   5   -1   -1    3
132 150.27217 2.23009 21.02      1      1      1      1      1      6        613543      2.6145   2.58   2.6145    2.612085  -1.0 2.58 2.611  -1.0   0    3    3    1
133 150.30261 2.16108 20.23      1      1      1      1      1      6        567121      1.8221    2.0   1.8221      1.8175  -1.0  2.0 1.826  -1.0   0    3    1    1
134 150.31652 2.24678 21.62      1      1      1      1      1      6        624239     2.48268   2.48  2.48268    2.478972  -1.0 2.48 2.491  -1.0   0   10    3    1
135 150.26234 2.25638 23.36      1      1      1      1      1      5        629991         0.9    0.9     -1.0        -1.0  -1.0  0.9 1.776  -1.0   3   -1   -1    3
136 150.15843 2.13957 20.14      1      1      1      1      1      6        553928      1.8347   1.85   1.8347    1.829505  -1.0 -1.0 1.829  -1.0   0    3    3    1
137 150.18004 2.23128 23.63      1      1      1      1      1      6        613328      2.1458   0.31   2.1458     1.40008  -1.0 0.31   1.4  -1.0   0   25    2    1
138 150.21469 2.20427  20.7      1      1      1      1      1      6        595487      1.8291   1.86   1.8291      1.8398  -1.0 1.86  1.84  -1.0   0    3    1    1
139 150.19979 2.19085 20.92      1      1      1      1      1      6        586685      1.5145   -1.0   1.5145      1.9289  -1.0 -1.0 1.502  -1.0   0    3    2    1
140 150.23628 2.28913 21.36      1      1      1      1      1      6        652010       2.077   2.13     -1.0       2.077  -1.0 2.13 2.077  -1.0   1   -1    1    1
141 150.25427 2.33061 22.72      1      1      1      1      1      6        679413       2.468   -1.0    2.468      2.4581  -1.0 -1.0 2.458  -1.0   0   26    1    1
142 150.25271 2.48638 21.15      1      1      1      1      1      6        782462      2.0413   -1.0   2.0413   2.0424242  -1.0 -1.0  2.04  -1.0   0    3    9    1
143 150.30809 2.43003 20.25      1      1      1      1      1      6        747724      0.3738   0.11   0.3738   0.3729016  -1.0 0.11 0.375  -1.0   0    1    3    1
144 150.29976 2.50687 21.03      1      1      1      1      1      6        795729      1.4999   -1.0   1.4999   1.5029482  -1.0 -1.0 1.505  -1.0   0    3    7    1
145 150.17401 2.40295 22.54      1      1      1      1      1      5        728847      0.9793   0.98   0.9793      1.7592  -1.0 0.98 0.972  -1.0   0    3    2    1
146 150.21078 2.39146 22.67      1      1      1      1      1      3        720608      3.1019   3.07   3.1019        -1.0  -1.0 3.07 3.095 3.095   0    3   -1    3
147 150.23182 2.36399 20.68      1      1      1      1      1      5        703122       1.936   1.98    1.936    1.931491  -1.0 1.98 1.933  -1.0   0    1    3    1
148 150.23554 2.36175 22.79      1      1      1      1      1      6        701418   2.5042994   0.95     -1.0   2.5042994  -1.0 0.95 2.501 2.501   1   -1    7    3
