HSC-z r_HSC-z SIMBAD-z bib_SIMBAD-z name
0.0 none 0.0 ------------------- ""
0.376 spec 0.373 2009ApJ...696.1195T "SDSS J100116.31+021402.7"
0.835 spec 0.6881 2009ApJ...696.1195T "ACS-GC 20042715"
0.574 spec 0.5694 2009ApJ...696.1195T "ACS-GC 20121453"
1.509 spec 0.6862 2009ApJ...696.1195T "ACS-GC 20070981"
0.623 spec 0.6218 2009ApJ...696.1195T "ACS-GC 20077710"
3.641 phot 3.626 2018ApJ...869...20B "COSMOS2015 649286"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.443 spec 0.8379 2009ApJ...696.1195T "ACS-GC 20111802"
0.0 none 0.0 ------------------- ""
3.754 spec 3.745 2009ApJ...693....8B "COSMOS 1864254"
0.0 none 0.0 ------------------- ""
1.325 spec 0.7252 2009ApJ...696.1195T "SDSS J100228.86+023732.5"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
2.779 phot 2.7785 2009ApJ...696.1195T "ACS-GC 20140743"
1.161 phot 1.161 2009ApJ...696.1195T "ACS-GC 20013397"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.358 phot 1.358 2018ApJ...858...77H "ACS-GC 20040374"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.245 phot 1.3177 2021ApJS..256....9S "ACS-GC 20150846"
0.0 none 0.0 ------------------- ""
3.015 phot 3.015 2018ApJ...858...77H "ACS-GC 20124303"
1.233 spec 1.233 2018ApJ...858...77H "COSMOS2015 756126"
1.395 spec 0.9388 2009ApJ...696.1195T "ACS-GC 20292826"
0.0 none 0.0 ------------------- ""
4.255 phot 4.2511 2009ApJ...696.1195T "ACS-GC 20099567"
0.66 spec 0.6554 2009ApJ...696.1195T "SDSS J095900.21+022811.6"
1.041 phot 1.0406 2009ApJ...696.1195T "ACS-GC 20158290"
2.536 phot 2.536 2018ApJ...858...77H "SDSS J095832.46+023555.8"
0.979 spec 0.979 2018ApJ...858...77H "ACS-GC 20054156"
0.612 spec 0.6076 2009ApJ...696.1195T "ACS-GC 20138926"
0.0 none 0.0 ------------------- ""
2.661 spec 2.661 2018ApJ...858...77H "COSMOS2015 598079"
0.0 none 0.0 ------------------- ""
1.03 spec 1.0302 2007ApJS..172...70L "ACS-GC 20169676"
1.052 spec 1.534 2018ApJ...858...77H "COSMOS2015 934419"
0.947 spec 0.8935 2009ApJ...696.1195T "SDSS J100047.92+014935.6"
0.0 none 0.0 ------------------- ""
2.329 phot 2.335 2009ApJ...696.1195T "COSMOS 2673465"
0.539 spec 0.942 2009ApJ...696.1195T "ACS-GC 20147176"
0.926 spec 0.924894 2017MNRAS.467.1965H "CANDELS COSMOS F160W J100025.43+021247.3"
1.326 spec 1.76 2018ApJ...858...77H "CANDELS COSMOS F160W J100023.01+021351.2"
0.0 none 0.0 ------------------- ""
0.746 spec 0.745 2009ApJ...696.1195T "ACS-GC 20151038"
1.177 spec 1.1776 2009ApJ...696.1195T "ACS-GC 20174851"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.17 phot 1.1703 2019ApJ...877...81M "ACS-GC 20103037"
3.471 phot 3.471 2018ApJ...858...77H "COSMOS2015 441487"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.59 phot 1.59 2015ApJS..220...12S "ACS-GC 20115974"
0.0 none 0.0 ------------------- ""
1.953 spec 1.953 2018ApJ...858...77H "COSMOS2015 534240"
0.933 spec 0.277 2014MNRAS.443.2679B "ACS-GC 20124470"
0.0 none 0.0 ------------------- ""
3.204 spec 3.204 2018ApJ...858...77H "ACS-GC 20137431"
0.0 none 0.0 ------------------- ""
0.616 spec 0.886 2018ApJ...858...77H "COSMOS2015 627823"
0.437 spec 1.67 2018ApJ...858...77H "ACS-GC 20135351"
2.314 phot 2.314 2018ApJ...858...77H "ACS-GC 20030408"
0.0 none 0.0 ------------------- ""
1.078 spec 0.667 2016MNRAS.458.4321K "ACS-GC 20123205"
1.948 phot 1.948 2018ApJ...858...77H "ACS-GC 20125049"
2.454 phot 2.454 2018ApJ...858...77H "ACS-GC 20073208"
1.372 spec 1.372 2018ApJ...858...77H "ACS-GC 20100664"
4.044 spec 4.044 2018ApJ...858...77H "COSMOS2015 727144"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.186 spec 1.1856 2009ApJ...696.1195T "[VV2006] J095829.8+021049"
0.326 spec 0.3256 2009ApJ...696.1195T "SDSS J100250.20+020850.7"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.37 phot 0.37036 2018ApJS..234...21D "COSMOSVLA J100008.43+020247.3"
0.35 spec 0.35025 2018ApJS..234...21D "SDSS J100026.49+024229.7"
0.0 none 0.0 ------------------- ""
